in:Index,out:↓ Highway visibility score,out:↓ Res  area visibility score,out:↑ Mountains visibility score,out:↑ Open view perc,out:↓ Privacy loss score,img_1,img_2,img_3,img_4,img_5,threeD
0,0.606416,2.386541,18.450704,32.949922,0.75971,Index0_Highway-view.png,Index0_Neighbor-view.png,Index0_Mountain view.png,Index0_Range-view.png,Index0_Privacy-view.png,Index0.json
1,0.436881,1.820879,15.680751,28.137715,3.673154,Index1_Highway-view.png,Index1_Neighbor-view.png,Index1_Mountain view.png,Index1_Range-view.png,Index1_Privacy-view.png,Index1.json
2,0.441771,1.796427,15.7277,28.270736,3.573063,Index2_Highway-view.png,Index2_Neighbor-view.png,Index2_Mountain view.png,Index2_Range-view.png,Index2_Privacy-view.png,Index2.json
3,0.383086,1.979004,16.322379,30.383412,1.881293,Index3_Highway-view.png,Index3_Neighbor-view.png,Index3_Mountain view.png,Index3_Range-view.png,Index3_Privacy-view.png,Index3.json
4,0.572183,2.290363,17.496088,32.934272,0.448632,Index4_Highway-view.png,Index4_Neighbor-view.png,Index4_Mountain view.png,Index4_Range-view.png,Index4_Privacy-view.png,Index4.json
5,0.617827,2.386541,18.528951,33.771518,0.65499,Index5_Highway-view.png,Index5_Neighbor-view.png,Index5_Mountain view.png,Index5_Range-view.png,Index5_Privacy-view.png,Index5.json
6,0.621088,2.435446,18.372457,34.467919,0.729679,Index6_Highway-view.png,Index6_Neighbor-view.png,Index6_Mountain view.png,Index6_Range-view.png,Index6_Privacy-view.png,Index6.json
7,0.627608,2.270801,17.934272,32.410016,1.28373,Index7_Highway-view.png,Index7_Neighbor-view.png,Index7_Mountain view.png,Index7_Range-view.png,Index7_Privacy-view.png,Index7.json
8,0.634129,2.380021,18.341158,34.045383,0.651797,Index8_Highway-view.png,Index8_Neighbor-view.png,Index8_Mountain view.png,Index8_Range-view.png,Index8_Privacy-view.png,Index8.json
9,0.440141,1.83555,15.7277,28.239437,3.715912,Index9_Highway-view.png,Index9_Neighbor-view.png,Index9_Mountain view.png,Index9_Range-view.png,Index9_Privacy-view.png,Index9.json
10,0.629238,2.433816,18.325509,34.733959,0.803045,Index10_Highway-view.png,Index10_Neighbor-view.png,Index10_Mountain view.png,Index10_Range-view.png,Index10_Privacy-view.png,Index10.json
11,0.508607,1.918688,16.259781,29.655712,2.097537,Index11_Highway-view.png,Index11_Neighbor-view.png,Index11_Mountain view.png,Index11_Range-view.png,Index11_Privacy-view.png,Index11.json
12,0.467853,1.83718,16.118936,29.092332,2.363664,Index12_Highway-view.png,Index12_Neighbor-view.png,Index12_Mountain view.png,Index12_Range-view.png,Index12_Privacy-view.png,Index12.json
13,0.420579,1.874674,16.056338,29.483568,2.710357,Index13_Highway-view.png,Index13_Neighbor-view.png,Index13_Mountain view.png,Index13_Range-view.png,Index13_Privacy-view.png,Index13.json
14,0.53632,2.179512,17.652582,31.682316,1.606444,Index14_Highway-view.png,Index14_Neighbor-view.png,Index14_Mountain view.png,Index14_Range-view.png,Index14_Privacy-view.png,Index14.json
15,0.459703,2.146909,17.43349,31.823161,2.22097,Index15_Highway-view.png,Index15_Neighbor-view.png,Index15_Mountain view.png,Index15_Range-view.png,Index15_Privacy-view.png,Index15.json
16,0.4271,2.15832,17.464789,32.026604,1.047254,Index16_Highway-view.png,Index16_Neighbor-view.png,Index16_Mountain view.png,Index16_Range-view.png,Index16_Privacy-view.png,Index16.json
17,0.467853,1.848592,16.134585,29.327074,2.296433,Index17_Highway-view.png,Index17_Neighbor-view.png,Index17_Mountain view.png,Index17_Range-view.png,Index17_Privacy-view.png,Index17.json
18,0.43525,1.985524,16.57277,28.928013,3.597674,Index18_Highway-view.png,Index18_Neighbor-view.png,Index18_Mountain view.png,Index18_Range-view.png,Index18_Privacy-view.png,Index18.json
19,0.405908,1.993675,16.27543,30.7277,1.38426,Index19_Highway-view.png,Index19_Neighbor-view.png,Index19_Mountain view.png,Index19_Range-view.png,Index19_Privacy-view.png,Index19.json
20,0.513498,2.023018,16.228482,31.189358,1.827523,Index20_Highway-view.png,Index20_Neighbor-view.png,Index20_Mountain view.png,Index20_Range-view.png,Index20_Privacy-view.png,Index20.json
21,0.619457,2.355569,18.325509,33.607199,0.614188,Index21_Highway-view.png,Index21_Neighbor-view.png,Index21_Mountain view.png,Index21_Range-view.png,Index21_Privacy-view.png,Index21.json
22,0.453182,1.853482,15.946792,28.701095,3.31984,Index22_Highway-view.png,Index22_Neighbor-view.png,Index22_Mountain view.png,Index22_Range-view.png,Index22_Privacy-view.png,Index22.json
23,0.616197,2.200704,17.214397,32.629108,0.99136,Index23_Highway-view.png,Index23_Neighbor-view.png,Index23_Mountain view.png,Index23_Range-view.png,Index23_Privacy-view.png,Index23.json
24,0.503717,2.145279,17.402191,31.471049,1.235494,Index24_Highway-view.png,Index24_Neighbor-view.png,Index24_Mountain view.png,Index24_Range-view.png,Index24_Privacy-view.png,Index24.json
25,0.521648,2.04584,16.447574,31.095462,1.35476,Index25_Highway-view.png,Index25_Neighbor-view.png,Index25_Mountain view.png,Index25_Range-view.png,Index25_Privacy-view.png,Index25.json
26,0.601526,2.326226,18.106416,33.255086,0.681525,Index26_Highway-view.png,Index26_Neighbor-view.png,Index26_Mountain view.png,Index26_Range-view.png,Index26_Privacy-view.png,Index26.json
27,0.414058,1.965962,16.228482,30.892019,1.872779,Index27_Highway-view.png,Index27_Neighbor-view.png,Index27_Mountain view.png,Index27_Range-view.png,Index27_Privacy-view.png,Index27.json
28,0.482525,2.008346,16.744914,29.827856,2.256276,Index28_Highway-view.png,Index28_Neighbor-view.png,Index28_Mountain view.png,Index28_Range-view.png,Index28_Privacy-view.png,Index28.json
29,0.446661,1.83718,15.915493,28.552426,3.449216,Index29_Highway-view.png,Index29_Neighbor-view.png,Index29_Mountain view.png,Index29_Range-view.png,Index29_Privacy-view.png,Index29.json
30,0.503717,2.032799,17.120501,30.13302,2.204538,Index30_Highway-view.png,Index30_Neighbor-view.png,Index30_Mountain view.png,Index30_Range-view.png,Index30_Privacy-view.png,Index30.json
31,0.454812,1.82903,15.7277,28.748044,3.505668,Index31_Highway-view.png,Index31_Neighbor-view.png,Index31_Mountain view.png,Index31_Range-view.png,Index31_Privacy-view.png,Index31.json
32,0.453182,1.979004,16.306729,30.555556,2.477993,Index32_Highway-view.png,Index32_Neighbor-view.png,Index32_Mountain view.png,Index32_Range-view.png,Index32_Privacy-view.png,Index32.json
33,0.410798,1.970853,16.27543,30.954617,1.839817,Index33_Highway-view.png,Index33_Neighbor-view.png,Index33_Mountain view.png,Index33_Range-view.png,Index33_Privacy-view.png,Index33.json
34,0.466223,1.83718,16.071987,28.99061,2.33962,Index34_Highway-view.png,Index34_Neighbor-view.png,Index34_Mountain view.png,Index34_Range-view.png,Index34_Privacy-view.png,Index34.json
35,0.446661,2.138758,17.308294,31.361502,2.238298,Index35_Highway-view.png,Index35_Neighbor-view.png,Index35_Mountain view.png,Index35_Range-view.png,Index35_Privacy-view.png,Index35.json
36,0.448292,1.959442,16.259781,30.43036,1.643899,Index36_Highway-view.png,Index36_Neighbor-view.png,Index36_Mountain view.png,Index36_Range-view.png,Index36_Privacy-view.png,Index36.json
