in:Index,out:↓ Highway visibility score,out:↓ Res  area visibility score,out:↑ Mountains visibility score,out:↑ Open view perc,out:↓ Privacy loss score,img_1,img_2,img_3,img_4,img_5,threeD
167,0.495566,0.396127,16.322379,29.311424,2.289338,Index167_Highway-view.png,Index167_Neighbor-view.png,Index167_Mountain view.png,Index167_Range-view.png,Index167_Privacy-view.png,Index167.json
168,0.588485,0.370044,16.682316,31.173709,1.844475,Index168_Highway-view.png,Index168_Neighbor-view.png,Index168_Mountain view.png,Index168_Range-view.png,Index168_Privacy-view.png,Index168.json
169,0.508607,0.462963,17.261346,32.073552,1.808944,Index169_Highway-view.png,Index169_Neighbor-view.png,Index169_Mountain view.png,Index169_Range-view.png,Index169_Privacy-view.png,Index169.json
170,0.564032,0.449922,16.400626,31.557121,1.200806,Index170_Highway-view.png,Index170_Neighbor-view.png,Index170_Mountain view.png,Index170_Range-view.png,Index170_Privacy-view.png,Index170.json
171,0.604786,0.397757,16.729264,31.815336,1.350193,Index171_Highway-view.png,Index171_Neighbor-view.png,Index171_Mountain view.png,Index171_Range-view.png,Index171_Privacy-view.png,Index171.json
172,0.513498,0.418949,17.777778,31.173709,1.909814,Index172_Highway-view.png,Index172_Neighbor-view.png,Index172_Mountain view.png,Index172_Range-view.png,Index172_Privacy-view.png,Index172.json
173,0.477634,0.438511,17.323944,31.932707,2.191159,Index173_Highway-view.png,Index173_Neighbor-view.png,Index173_Mountain view.png,Index173_Range-view.png,Index173_Privacy-view.png,Index173.json
174,0.595005,0.397757,18.122066,32.824726,1.471078,Index174_Highway-view.png,Index174_Neighbor-view.png,Index174_Mountain view.png,Index174_Range-view.png,Index174_Privacy-view.png,Index174.json
175,0.585224,0.415689,16.541471,32.777778,1.217,Index175_Highway-view.png,Index175_Neighbor-view.png,Index175_Mountain view.png,Index175_Range-view.png,Index175_Privacy-view.png,Index175.json
176,0.598266,0.423839,17.230047,32.104851,1.626216,Index176_Highway-view.png,Index176_Neighbor-view.png,Index176_Mountain view.png,Index176_Range-view.png,Index176_Privacy-view.png,Index176.json
177,0.590115,0.446661,18.137715,33.270736,0.596055,Index177_Highway-view.png,Index177_Neighbor-view.png,Index177_Mountain view.png,Index177_Range-view.png,Index177_Privacy-view.png,Index177.json
178,0.524909,0.389606,15.680751,29.397496,2.927522,Index178_Highway-view.png,Index178_Neighbor-view.png,Index178_Mountain view.png,Index178_Range-view.png,Index178_Privacy-view.png,Index178.json
179,0.54284,0.387976,17.276995,30.422535,2.776732,Index179_Highway-view.png,Index179_Neighbor-view.png,Index179_Mountain view.png,Index179_Range-view.png,Index179_Privacy-view.png,Index179.json
180,0.590115,0.391236,16.651017,31.126761,1.596288,Index180_Highway-view.png,Index180_Neighbor-view.png,Index180_Mountain view.png,Index180_Range-view.png,Index180_Privacy-view.png,Index180.json
181,0.590115,0.394497,16.071987,30.555556,1.739468,Index181_Highway-view.png,Index181_Neighbor-view.png,Index181_Mountain view.png,Index181_Range-view.png,Index181_Privacy-view.png,Index181.json
182,0.591745,0.392866,16.463224,31.471049,1.842391,Index182_Highway-view.png,Index182_Neighbor-view.png,Index182_Mountain view.png,Index182_Range-view.png,Index182_Privacy-view.png,Index182.json
183,0.53958,0.462963,17.527387,31.784038,1.056627,Index183_Highway-view.png,Index183_Neighbor-view.png,Index183_Mountain view.png,Index183_Range-view.png,Index183_Privacy-view.png,Index183.json
184,0.454812,0.448292,17.073552,30.665102,2.133075,Index184_Highway-view.png,Index184_Neighbor-view.png,Index184_Mountain view.png,Index184_Range-view.png,Index184_Privacy-view.png,Index184.json
185,0.524909,0.415689,16.87011,30.070423,2.988538,Index185_Highway-view.png,Index185_Neighbor-view.png,Index185_Mountain view.png,Index185_Range-view.png,Index185_Privacy-view.png,Index185.json
186,0.577074,0.445031,17.370892,32.660407,1.017214,Index186_Highway-view.png,Index186_Neighbor-view.png,Index186_Mountain view.png,Index186_Range-view.png,Index186_Privacy-view.png,Index186.json
187,0.466223,0.443401,16.431925,30.907668,2.561399,Index187_Highway-view.png,Index187_Neighbor-view.png,Index187_Mountain view.png,Index187_Range-view.png,Index187_Privacy-view.png,Index187.json
188,0.467853,0.414058,16.353678,30.813772,2.256722,Index188_Highway-view.png,Index188_Neighbor-view.png,Index188_Mountain view.png,Index188_Range-view.png,Index188_Privacy-view.png,Index188.json
189,0.585224,0.405908,15.383412,29.194053,2.544437,Index189_Highway-view.png,Index189_Neighbor-view.png,Index189_Mountain view.png,Index189_Range-view.png,Index189_Privacy-view.png,Index189.json
190,0.580334,0.370044,15.915493,30.305164,2.011393,Index190_Highway-view.png,Index190_Neighbor-view.png,Index190_Mountain view.png,Index190_Range-view.png,Index190_Privacy-view.png,Index190.json
191,0.580334,0.370044,15.915493,30.305164,2.011393,Index190_Highway-view.png,Index190_Neighbor-view.png,Index190_Mountain view.png,Index190_Range-view.png,Index190_Privacy-view.png,Index190.json
192,0.611307,0.415689,18.200313,32.895149,1.024267,Index192_Highway-view.png,Index192_Neighbor-view.png,Index192_Mountain view.png,Index192_Range-view.png,Index192_Privacy-view.png,Index192.json
193,0.630869,0.401017,17.230047,31.924883,1.122256,Index193_Highway-view.png,Index193_Neighbor-view.png,Index193_Mountain view.png,Index193_Range-view.png,Index193_Privacy-view.png,Index193.json
194,0.595005,0.43525,16.306729,30.892019,1.865813,Index194_Highway-view.png,Index194_Neighbor-view.png,Index194_Mountain view.png,Index194_Range-view.png,Index194_Privacy-view.png,Index194.json
195,0.568923,0.415689,16.901408,32.441315,1.493405,Index195_Highway-view.png,Index195_Neighbor-view.png,Index195_Mountain view.png,Index195_Range-view.png,Index195_Privacy-view.png,Index195.json
196,0.547731,0.423839,17.042254,30.798122,2.131504,Index196_Highway-view.png,Index196_Neighbor-view.png,Index196_Mountain view.png,Index196_Range-view.png,Index196_Privacy-view.png,Index196.json
197,0.555882,0.443401,17.949922,32.8482,0.782755,Index197_Highway-view.png,Index197_Neighbor-view.png,Index197_Mountain view.png,Index197_Range-view.png,Index197_Privacy-view.png,Index197.json
198,0.596635,0.4271,17.323944,32.363067,1.112975,Index198_Highway-view.png,Index198_Neighbor-view.png,Index198_Mountain view.png,Index198_Range-view.png,Index198_Privacy-view.png,Index198.json
199,0.575443,0.404278,16.494523,32.449139,0.906347,Index199_Highway-view.png,Index199_Neighbor-view.png,Index199_Mountain view.png,Index199_Range-view.png,Index199_Privacy-view.png,Index199.json
200,0.575443,0.404278,16.494523,32.449139,0.906347,Index199_Highway-view.png,Index199_Neighbor-view.png,Index199_Mountain view.png,Index199_Range-view.png,Index199_Privacy-view.png,Index199.json
201,0.609677,0.43199,18.356808,33.646322,0.666239,Index201_Highway-view.png,Index201_Neighbor-view.png,Index201_Mountain view.png,Index201_Range-view.png,Index201_Privacy-view.png,Index201.json
202,0.601526,0.366784,16.416275,30.829421,1.955702,Index202_Highway-view.png,Index202_Neighbor-view.png,Index202_Mountain view.png,Index202_Range-view.png,Index202_Privacy-view.png,Index202.json
203,0.520018,0.412428,17.308294,31.267606,3.015026,Index203_Highway-view.png,Index203_Neighbor-view.png,Index203_Mountain view.png,Index203_Range-view.png,Index203_Privacy-view.png,Index203.json
204,0.562402,0.402647,16.666667,30.242567,2.072109,Index204_Highway-view.png,Index204_Neighbor-view.png,Index204_Mountain view.png,Index204_Range-view.png,Index204_Privacy-view.png,Index204.json
205,0.583594,0.386346,16.697966,32.331768,1.192336,Index205_Highway-view.png,Index205_Neighbor-view.png,Index205_Mountain view.png,Index205_Range-view.png,Index205_Privacy-view.png,Index205.json
